"02-01-2014 07h00";42;0;5;0;0;0;
"02-01-2014 07h15";43;0;5;0;0;0;
"02-01-2014 07h30";43;0;5;0;0;0;
"02-01-2014 07h45";43;0;5;0;0;0;
"02-01-2014 08h00";44;0;6;0;0;0;
"02-01-2014 08h15";44;0;5;0;0;0;
"02-01-2014 08h30";44;0;5;0;0;0;
"02-01-2014 08h45";44;0;5;0;0;0;
"02-01-2014 09h00";44;0;5;0;0;0;
"02-01-2014 09h15";45;0;5;0;0;0;
"02-01-2014 09h30";47;0;6;0;0;0;
"02-01-2014 09h45";47;0;5;0;0;0;
"02-01-2014 10h00";46;0;5;0;0;0;
"02-01-2014 10h15";46;0;5;0;0;0;
"02-01-2014 10h30";45;0;5;0;0;0;
"02-01-2014 10h45";47;0;6;0;0;0;
"02-01-2014 11h00";48;0;6;0;0;0;
"02-01-2014 11h15";48;0;6;0;0;0;
"02-01-2014 11h30";48;0;7;0;0;0;
"02-01-2014 11h45";47;0;6;0;0;0;
"02-01-2014 12h00";47;0;7;0;0;0;
"02-01-2014 12h15";49;0;6;0;0;0;
"02-01-2014 12h30";48;0;6;0;0;0;
"02-01-2014 12h45";50;0;5;0;0;0;
"02-01-2014 13h00";49;0;6;0;0;0;
"02-01-2014 13h15";49;0;5;0;0;0;
"02-01-2014 13h30";48;0;6;0;0;0;
"02-01-2014 13h45";48;0;6;0;0;0;
"02-01-2014 14h00";49;0;6;0;0;0;
"02-01-2014 14h15";47;0;7;0;0;0;
"02-01-2014 14h30";50;0;9;0;0;0;
"02-01-2014 14h45";63;0;13;0;0;0;
"02-01-2014 15h00";63;0;13;0;0;0;
"02-01-2014 15h15";61;0;14;0;0;0;
"02-01-2014 15h30";62;0;13;0;0;0;
"02-01-2014 15h45";57;0;11;0;0;0;
"02-01-2014 16h00";54;0;11;0;0;0;
"02-01-2014 16h15";46;0;6;0;0;0;
"02-01-2014 16h30";45;0;5;0;0;0;
"02-01-2014 16h45";45;0;5;0;0;0;
"02-01-2014 17h00";45;0;5;0;0;0;
"02-01-2014 17h15";45;0;5;0;0;0;
"02-01-2014 17h30";45;0;5;0;0;0;
"02-01-2014 17h45";45;0;5;0;0;0;
"02-01-2014 18h00";46;0;5;0;0;0;
"02-01-2014 18h15";45;0;5;0;0;0;
"02-01-2014 18h30";47;0;5;0;0;0;
"02-01-2014 18h45";47;0;5;0;0;0;
"02-01-2014 19h00";46;0;5;0;0;0;
"02-01-2014 19h15";45;0;5;0;0;0;
"02-01-2014 19h30";46;0;5;0;0;0;
"02-01-2014 19h45";46;0;4;0;0;0;
"02-01-2014 20h00";46;0;5;0;0;0;
"02-01-2014 20h15";46;0;5;0;0;0;
