"01-01-2014 12h30";59;0;27;0;0;0;
"01-01-2014 12h45";62;0;25;0;0;0;
"01-01-2014 13h00";62;0;26;0;0;0;
"01-01-2014 13h15";61;0;25;0;0;0;
"01-01-2014 13h30";64;0;26;0;0;0;
"01-01-2014 13h45";60;0;27;0;0;0;
"01-01-2014 14h00";65;0;27;0;0;0;
"01-01-2014 14h15";71;0;27;0;0;0;
"01-01-2014 14h30";70;0;27;0;0;0;
"01-01-2014 14h45";68;0;27;0;0;0;
"01-01-2014 15h00";61;0;27;0;0;0;
"01-01-2014 15h15";54;0;23;0;0;0;
"01-01-2014 15h30";60;0;22;0;0;0;
"01-01-2014 15h45";56;0;21;0;0;0;
"01-01-2014 16h00";61;0;20;0;0;0;
"01-01-2014 16h15";63;0;21;0;0;0;
"01-01-2014 16h30";71;0;23;0;0;0;
"01-01-2014 16h45";61;0;22;0;0;0;
"01-01-2014 17h00";65;0;20;0;0;0;
"01-01-2014 17h15";66;0;20;0;0;0;
"01-01-2014 17h30";69;0;18;0;0;0;
"01-01-2014 17h45";75;0;23;0;0;0;
"01-01-2014 18h00";71;0;21;0;0;0;
"01-01-2014 18h15";78;0;21;0;0;0;
"01-01-2014 18h30";63;0;21;0;0;0;
"01-01-2014 18h45";62;0;20;0;0;0;
"01-01-2014 19h00";78;0;21;0;0;0;
"01-01-2014 19h15";67;0;21;0;0;0;
"01-01-2014 19h30";80;0;21;0;0;0;
"01-01-2014 19h45";77;0;22;0;0;0;
"01-01-2014 20h00";74;0;21;0;0;0;
"01-01-2014 20h15";81;0;23;0;0;0;
"01-01-2014 20h30";71;0;23;0;0;0;
"01-01-2014 20h45";67;0;21;0;0;0;
"01-01-2014 21h00";66;0;20;0;0;0;
"01-01-2014 21h15";76;0;22;0;0;0;
"01-01-2014 21h30";69;0;20;0;0;0;
"01-01-2014 21h45";69;0;22;0;0;0;
"01-01-2014 22h00";69;0;23;0;0;0;
"01-01-2014 22h15";68;0;22;0;0;0;
"01-01-2014 22h30";60;0;21;0;0;0;
"01-01-2014 22h45";59;0;21;0;0;0;
"01-01-2014 23h00";66;0;23;0;0;0;
"01-01-2014 23h15";62;0;20;0;0;0;
"01-01-2014 23h30";55;0;21;0;0;0;
"01-01-2014 23h45";52;0;18;0;0;0;
"01-01-2014 00h00";59;0;17;0;0;0;
"02-01-2014 00h15";52;0;17;0;0;0;
"02-01-2014 00h30";49;0;18;0;0;0;
"02-01-2014 00h45";53;0;16;0;0;0;
"02-01-2014 01h00";52;0;17;0;0;0;
"02-01-2014 01h15";39;0;18;0;0;0;
"02-01-2014 01h30";34;0;18;0;0;0;
"02-01-2014 01h45";36;0;14;0;0;0;
"02-01-2014 02h00";32;0;13;0;0;0;
"02-01-2014 02h15";26;0;15;0;0;0;
"02-01-2014 02h30";22;0;12;0;0;0;
"02-01-2014 02h45";21;0;11;0;0;0;
"02-01-2014 03h00";21;0;13;0;0;0;
"02-01-2014 03h15";18;0;11;0;0;0;
"02-01-2014 03h30";15;0;12;0;0;0;
"02-01-2014 03h45";14;0;11;0;0;0;
"02-01-2014 04h00";13;0;11;0;0;0;
"02-01-2014 04h15";13;0;11;0;0;0;
"02-01-2014 04h30";12;0;11;0;0;0;
"02-01-2014 04h45";15;0;13;0;0;0;
"02-01-2014 05h00";15;0;13;0;0;0;
"02-01-2014 05h15";14;0;13;0;0;0;
"02-01-2014 05h30";12;0;12;0;0;0;
"02-01-2014 05h45";13;0;12;0;0;0;
"02-01-2014 06h00";10;0;9;0;0;0;
"02-01-2014 06h15";12;0;11;0;0;0;
"02-01-2014 06h30";13;0;11;0;0;0;
"02-01-2014 06h45";12;0;11;0;0;0;
"02-01-2014 07h00";13;0;10;0;0;0;
"02-01-2014 07h15";11;0;8;0;0;0;
"02-01-2014 07h30";10;0;9;0;0;0;
"02-01-2014 07h45";9;0;8;0;0;0;
"02-01-2014 08h00";9;0;7;0;0;0;
"02-01-2014 08h15";10;0;8;0;0;0;
"02-01-2014 08h30";9;0;9;0;0;0;
"02-01-2014 08h45";9;0;8;0;0;0;
"02-01-2014 09h00";11;0;8;0;0;0;
"02-01-2014 09h15";10;0;9;0;0;0;
"02-01-2014 09h30";12;0;10;0;0;0;
"02-01-2014 09h45";13;0;11;0;0;0;
"02-01-2014 10h00";11;0;9;0;0;0;
"02-01-2014 10h15";23;0;17;0;0;0;
"02-01-2014 10h30";25;0;19;0;0;0;
"02-01-2014 10h45";49;0;18;0;0;0;
"02-01-2014 11h00";60;0;19;0;0;0;
"02-01-2014 11h15";60;0;24;0;0;0;
"02-01-2014 11h30";59;0;22;0;0;0;
"02-01-2014 11h45";59;0;21;0;0;0;
"02-01-2014 12h00";53;0;19;0;0;0;
"02-01-2014 12h15";58;0;19;0;0;0;
"02-01-2014 12h30";68;0;23;0;0;0;
"02-01-2014 12h45";63;0;22;0;0;0;
"02-01-2014 13h00";71;0;21;0;0;0;
"02-01-2014 13h15";68;0;21;0;0;0;
"02-01-2014 13h30";70;0;22;0;0;0;
"02-01-2014 13h45";56;0;21;0;0;0;
"02-01-2014 14h00";57;0;20;0;0;0;
"02-01-2014 14h15";57;0;20;0;0;0;
"02-01-2014 14h30";54;0;20;0;0;0;
"02-01-2014 14h45";61;0;20;0;0;0;
"02-01-2014 15h00";57;0;20;0;0;0;
"02-01-2014 15h15";53;0;20;0;0;0;
"02-01-2014 15h30";54;0;19;0;0;0;
"02-01-2014 15h45";55;0;20;0;0;0;
"02-01-2014 16h00";49;0;20;0;0;0;
"02-01-2014 16h15";57;0;20;0;0;0;
"02-01-2014 16h30";62;0;20;0;0;0;
"02-01-2014 16h45";53;0;20;0;0;0;
"02-01-2014 17h00";69;0;19;0;0;0;
"02-01-2014 17h15";61;0;19;0;0;0;
"02-01-2014 17h30";58;0;23;0;0;0;
"02-01-2014 17h45";57;0;20;0;0;0;
"02-01-2014 18h00";55;0;20;0;0;0;
"02-01-2014 18h15";56;0;19;0;0;0;
"02-01-2014 18h30";61;0;21;0;0;0;
"02-01-2014 18h45";62;0;20;0;0;0;
"02-01-2014 19h00";62;0;21;0;0;0;
"02-01-2014 19h15";64;0;20;0;0;0;
"02-01-2014 19h30";63;0;22;0;0;0;
"02-01-2014 19h45";73;0;21;0;0;0;
"02-01-2014 20h00";65;0;20;0;0;0;
"02-01-2014 20h15";72;0;21;0;0;0;
"02-01-2014 20h30";72;0;21;0;0;0;
"02-01-2014 20h45";79;0;21;0;0;0;
"02-01-2014 21h00";68;0;20;0;0;0;
"02-01-2014 21h15";62;0;21;0;0;0;
"02-01-2014 21h30";62;0;19;0;0;0;
"02-01-2014 21h45";58;0;21;0;0;0;
"02-01-2014 22h00";61;0;19;0;0;0;
"02-01-2014 22h15";62;0;18;0;0;0;
"02-01-2014 22h30";59;0;24;0;0;0;
"02-01-2014 22h45";57;0;21;0;0;0;
